2023-05-22 14:33:24,370 p=1123 u=ubuntu n=ansible | PLAY [Generate artifact, copy artifact & sql file to files directory] *************************
2023-05-22 14:33:24,395 p=1123 u=ubuntu n=ansible | TASK [Gathering Facts] ************************************************************************
2023-05-22 14:33:26,128 p=1123 u=ubuntu n=ansible | ok: [localhost]
2023-05-22 14:33:26,143 p=1123 u=ubuntu n=ansible | TASK [Install  jdk, maven, git] ***************************************************************
2023-05-22 14:33:45,575 p=1123 u=ubuntu n=ansible | ok: [localhost] => (item=git)
2023-05-22 14:34:38,173 p=1123 u=ubuntu n=ansible | changed: [localhost] => (item=openjdk-8-jdk)
2023-05-22 14:34:47,893 p=1123 u=ubuntu n=ansible | changed: [localhost] => (item=maven)
2023-05-22 14:34:47,907 p=1123 u=ubuntu n=ansible | TASK [Clone source code from github] **********************************************************
2023-05-22 14:34:52,557 p=1123 u=ubuntu n=ansible | changed: [localhost]
2023-05-22 14:34:52,569 p=1123 u=ubuntu n=ansible | TASK [mvn install command to build artifact] **************************************************
2023-05-22 14:35:35,096 p=1123 u=ubuntu n=ansible | changed: [localhost]
2023-05-22 14:35:35,124 p=1123 u=ubuntu n=ansible | TASK [Copy artifacts to files directory] ******************************************************
2023-05-22 14:35:36,330 p=1123 u=ubuntu n=ansible | failed: [localhost] (item=/home/ubuntu/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war) => {"ansible_loop_var": "item", "changed": false, "checksum": "86ad2490bf8d54133c93c02e6a9cccadda1c5d2a", "item": "/home/ubuntu/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war", "msg": "Destination directory files does not exist"}
2023-05-22 14:35:36,336 p=1123 u=ubuntu n=ansible | PLAY RECAP ************************************************************************************
2023-05-22 14:35:36,336 p=1123 u=ubuntu n=ansible | localhost                  : ok=4    changed=3    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
